Date,CS_Mnth,CD_Mnth,Enrgy_Mnth,Fncl_Mnth,HlthC_Mnth,Indstrl_Mnth,Mtrls_Mnth,Tech_Mnth,Util_Mnth,Unempl,Jobs_Non-Farm (000s),Hrly_Wages,CPI_urban,PPI_Commodity,Imp_Exp _Indx,haircut_price,cardboard_pice,Cnstrct_InPlace ($mms),Houses_Sold (000s),House_starts (000s),"SB (AFC_0,NFC_1)",Cosmetics_ index,bodies,unidentified_ bodies,underwear,beer_ %change
12/1/1998,,,,,,,,,,0.044,127596,,164.4,,91,102.7,166.5,706989,949,1738,0,160.8,2,17,,0.8
1/1/1999,0.058,0.0333,-0.0013,-0.0127,0.0579,0.0599,0.0556,0.0077,-0.0077,0.043,127702,,164.7,,91.3,103,165,708818,875,1708,0,162.1,3,24,,-1.1
2/1/1999,-0.0143,0.055,-0.0631,0.0337,0.0429,-0.0038,-0.0299,0.1684,-0.012,0.044,128120,,164.7,,91.2,103.3,164.5,726308,848,1618,0,162.1,1,17,,0.6
3/1/1999,-0.0208,-0.0136,-0.0064,0.0078,-0.0057,-0.0013,0,-0.1188,-0.0411,0.042,128227,,164.8,,91.5,103.7,164.6,737226,863,1652,0,163.6,1,16,,-0.6
4/1/1999,0.0112,0.0563,0.1363,0.0311,0.0287,0.0204,0.0235,0.1152,-0.0577,0.043,128597,,165.9,,92.4,103.9,171.3,728788,918,1517,0,163,4,19,,3.4
5/1/1999,-0.0363,0.0228,0.1472,0.0691,0.048,0.1446,0.2496,-0.0133,0.0956,0.042,128808,,166,,93.1,104.4,174.8,727358,888,1562,0,163.5,1,23,,-0.8
6/1/1999,-0.0176,-0.0457,-0.0243,-0.0623,-0.0469,-0.0159,-0.085,-0.0004,0.0053,0.043,129089,,166,,92.9,104.3,177.2,739167,923,1506,0,165.8,3,26,,-1.5
7/1/1999,0.0148,0.0535,0.0204,0.0489,0.0447,0.0517,0.0496,0.0993,0.0434,0.043,129414,,166.7,,93.8,104.6,174.9,745815,900,1606,0,164.8,2,11,,1.1
8/1/1999,-0.039,-0.0645,0.0094,-0.0585,-0.0246,-0.0227,-0.0233,-0.0208,-0.0005,0.042,129569,,167.1,,94.8,104.9,183.1,741524,893,1618,0,165.7,,35,,0.1
9/1/1999,0.0127,-0.0367,0.0176,-0.0444,-0.0504,0.0049,-0.0386,0.0479,-0.0558,0.042,129772,,167.8,,95.8,105,190.5,751402,826,1575,0,168,1,28,,1.6
