date,bodies
1998-Feb-1,2
1998-May-1,4
1998-Jun-1,1
1998-Jul-1,1
1998-Aug-1,1
1998-Oct-1,1
1998-Nov-1,1
1998-Dec-1,2
1999-Jan-1,3
1999-Feb-1,1
1999-Mar-1,1
1999-Apr-1,4
1999-May-1,1
1999-Jun-1,3
1999-Jul-1,2
1999-Sep-1,1
1999-Oct-1,2
1999-Nov-1,4
1999-Dec-1,1
2000-Jan-1,1
2000-Feb-1,2
2000-Mar-1,2
2000-Apr-1,2
2000-May-1,1
2000-Jun-1,3
2000-Aug-1,2
2000-Sep-1,1
2000-Oct-1,3
2001-Jan-1,5
2001-Mar-1,2
2001-Apr-1,1
2001-May-1,2
2001-Jun-1,2
2001-Jul-1,3
2001-Aug-1,3
2001-Sep-1,1
2001-Oct-1,5
2001-Nov-1,2
2001-Dec-1,2
2002-Jan-1,6
2002-Feb-1,4
2002-Mar-1,2
2002-Apr-1,5
2002-May-1,3
2002-Jun-1,1
2002-Jul-1,1
2002-Aug-1,1
2002-Sep-1,3
2002-Oct-1,5
2002-Nov-1,7
2002-Dec-1,8
2003-Jan-1,11
2003-Feb-1,8
2003-Mar-1,7
2003-Apr-1,10
2003-May-1,11
2003-Jun-1,11
2003-Jul-1,6
2003-Aug-1,7
2003-Sep-1,14
2003-Oct-1,11
2003-Nov-1,10
2003-Dec-1,13
2004-Jan-1,8
2004-Feb-1,9
2004-Mar-1,8
2004-Apr-1,7
2004-May-1,4
2004-Jun-1,7
2004-Jul-1,6
2004-Aug-1,11
2004-Sep-1,14
2004-Oct-1,12
2004-Nov-1,11
2004-Dec-1,8
2005-Jan-1,7
2005-Feb-1,13
2005-Mar-1,15
2005-Apr-1,6
2005-May-1,19
2005-Jun-1,5
2005-Jul-1,11
2005-Aug-1,12
2005-Sep-1,8
2005-Oct-1,12
2005-Nov-1,12
2005-Dec-1,10
2006-Jan-1,19
2006-Feb-1,6
2006-Mar-1,15
2006-Apr-1,14
2006-May-1,19
2006-Jun-1,10
2006-Jul-1,15
2006-Aug-1,11
2006-Sep-1,15
2006-Oct-1,16
2006-Nov-1,10
2006-Dec-1,14
2007-Jan-1,15
2007-Feb-1,11
2007-Mar-1,17
2007-Apr-1,12
2007-May-1,21
2007-Jun-1,21
2007-Jul-1,24
2007-Aug-1,12
2007-Sep-1,21
2007-Oct-1,18
2007-Nov-1,27
2007-Dec-1,18
2008-Jan-1,20
2008-Feb-1,20
2008-Mar-1,16
2008-Apr-1,19
2008-May-1,22
2008-Jun-1,22
2008-Jul-1,21
2008-Aug-1,21
2008-Sep-1,21
2008-Oct-1,20
2008-Nov-1,21
2008-Dec-1,17
2009-Jan-1,24
2009-Feb-1,25
2009-Mar-1,28
2009-Apr-1,15
2009-May-1,18
2009-Jun-1,18
2009-Jul-1,18
2009-Aug-1,32
2009-Sep-1,11
2009-Oct-1,33
2009-Nov-1,25
2009-Dec-1,18
2010-Jan-1,20
2010-Feb-1,21
2010-Mar-1,19
2010-Apr-1,12
2010-May-1,19
2010-Jun-1,19
2010-Jul-1,12
2010-Aug-1,12
2010-Sep-1,13
2010-Oct-1,12
2010-Nov-1,5
2010-Dec-1,6
2011-Jan-1,13
2011-Feb-1,15
2011-Mar-1,18
2011-Apr-1,12
2011-May-1,10
2011-Jun-1,6
2011-Jul-1,14
2011-Aug-1,16
2011-Sep-1,9
2011-Oct-1,5
2011-Nov-1,11
2011-Dec-1,19
2012-Jan-1,15
2012-Feb-1,12
2012-Mar-1,11
2012-Apr-1,9
2012-May-1,14
2012-Jun-1,4
2012-Jul-1,9
2012-Aug-1,12
2012-Sep-1,11
2012-Oct-1,9
2012-Nov-1,26
2012-Dec-1,18
2013-Jan-1,18
2013-Feb-1,18
2013-Mar-1,24
2013-Apr-1,18
2013-May-1,16
2013-Jun-1,19
2013-Jul-1,13
2013-Aug-1,22
2013-Sep-1,13
2013-Oct-1,20
2013-Nov-1,21
2013-Dec-1,26
2014-Jan-1,17
2014-Feb-1,18
2014-Mar-1,26
2014-Apr-1,17
2014-May-1,20
2014-Jun-1,24
2014-Jul-1,22
2014-Aug-1,20
2014-Sep-1,26
