date,haircut_price,cardboard_pice,Date
1997-12-01,100.0,168.3,12/1/97
1998-01-01,100.2,172.1,1/1/98
1998-02-01,100.2,172.1,2/1/98
1998-03-01,100.5,172.1,3/1/98
1998-04-01,100.8,172.9,4/1/98
1998-05-01,100.9,171.0,5/1/98
1998-06-01,100.9,171.0,6/1/98
1998-07-01,101.3,170.4,7/1/98
1998-08-01,101.6,169.7,8/1/98
1998-09-01,101.9,169.5,9/1/98
1998-10-01,102.2,168.2,10/1/98
1998-11-01,102.3,168.2,11/1/98
1998-12-01,102.7,166.5,12/1/98
1999-01-01,103.0,165.0,1/1/99
1999-02-01,103.3,164.5,2/1/99
1999-03-01,103.7,164.6,3/1/99
1999-04-01,103.9,171.3,4/1/99
1999-05-01,104.4,174.8,5/1/99
1999-06-01,104.3,177.2,6/1/99
1999-07-01,104.6,174.9,7/1/99
1999-08-01,104.9,183.1,8/1/99
1999-09-01,105.0,190.5,9/1/99
1999-10-01,105.5,191.6,10/1/99
1999-11-01,106.1,191.9,11/1/99
1999-12-01,106.3,191.9,12/1/99
2000-01-01,106.7,191.9,1/1/00
2000-02-01,107.2,191.5,2/1/00
2000-03-01,107.5,192.3,3/1/00
2000-04-01,107.5,197.5,4/1/00
2000-05-01,108.2,201.3,5/1/00
2000-06-01,108.5,203.3,6/1/00
2000-07-01,108.7,203.2,7/1/00
2000-08-01,109.4,202.9,8/1/00
2000-09-01,109.8,203.5,9/1/00
2000-10-01,110.0,204.3,10/1/00
2000-11-01,110.2,204.3,11/1/00
2000-12-01,110.6,204.3,12/1/00
2001-01-01,110.8,204.3,1/1/01
2001-02-01,111.0,204.3,2/1/01
2001-03-01,111.2,204.3,3/1/01
2001-04-01,111.9,204.0,4/1/01
2001-05-01,112.3,202.8,5/1/01
2001-06-01,112.3,202.8,6/1/01
2001-07-01,112.8,202.8,7/1/01
2001-08-01,113.0,200.9,8/1/01
2001-09-01,113.2,199.5,9/1/01
2001-10-01,113.4,199.2,10/1/01
2001-11-01,114.0,198.3,11/1/01
2001-12-01,113.7,196.7,12/1/01
2002-01-01,113.6,196.4,1/1/02
2002-02-01,113.7,196.2,2/1/02
2002-03-01,114.3,196.7,3/1/02
2002-04-01,114.7,196.7,4/1/02
2002-05-01,114.9,195.1,5/1/02
2002-06-01,114.9,195.1,6/1/02
2002-07-01,115.1,195.9,7/1/02
2002-08-01,115.4,198.8,8/1/02
2002-09-01,115.4,199.9,9/1/02
2002-10-01,115.5,202.4,10/1/02
2002-11-01,115.8,200.5,11/1/02
2002-12-01,115.9,200.6,12/1/02
2003-01-01,116.3,200.6,1/1/03
2003-02-01,116.5,201.3,2/1/03
2003-03-01,117.0,201.2,3/1/03
2003-04-01,117.4,201.1,4/1/03
2003-05-01,117.8,201.4,5/1/03
2003-06-01,117.6,201.1,6/1/03
2003-07-01,117.9,200.9,7/1/03
2003-08-01,118.3,200.4,8/1/03
2003-09-01,119.2,200.3,9/1/03
2003-10-01,119.4,198.7,10/1/03
2003-11-01,118.5,198.4,11/1/03
2003-12-01,118.6,198.5,12/1/03
2004-01-01,118.7,198.5,1/1/04
2004-02-01,119.1,197.6,2/1/04
2004-03-01,119.4,197.1,3/1/04
2004-04-01,119.6,195.8,4/1/04
2004-05-01,119.9,200.3,5/1/04
2004-06-01,120.2,207.0,6/1/04
2004-07-01,120.5,207.6,7/1/04
2004-08-01,121.4,215.7,8/1/04
2004-09-01,121.5,218.8,9/1/04
2004-10-01,121.6,218.7,10/1/04
2004-11-01,122.1,218.7,11/1/04
2004-12-01,122.8,219.0,12/1/04
2005-01-01,123.2,216.9,1/1/05
2005-02-01,123.8,216.9,2/1/05
2005-03-01,124.0,216.8,3/1/05
2005-04-01,124.1,216.8,4/1/05
2005-05-01,123.8,217.9,5/1/05
2005-06-01,123.9,217.7,6/1/05
2005-07-01,124.4,216.8,7/1/05
2005-08-01,124.5,216.4,8/1/05
2005-09-01,124.8,213.1,9/1/05
2005-10-01,124.9,212.9,10/1/05
2005-11-01,125.2,215.0,11/1/05
2005-12-01,126.0,217.4,12/1/05
2006-01-01,125.9,217.3,1/1/06
2006-02-01,126.9,216.6,2/1/06
2006-03-01,127.2,227.0,3/1/06
2006-04-01,127.2,222.9,4/1/06
2006-05-01,127.3,224.3,5/1/06
2006-06-01,127.6,232.3,6/1/06
2006-07-01,127.9,233.5,7/1/06
2006-08-01,128.2,236.9,8/1/06
2006-09-01,128.5,238.9,9/1/06
2006-10-01,129.2,239.3,10/1/06
2006-11-01,129.5,239.3,11/1/06
2006-12-01,129.6,250.4,12/1/06
2007-01-01,130.6,250.4,1/1/07
2007-02-01,130.95,249.2,2/1/07
2007-03-01,131.24,249.2,3/1/07
2007-04-01,131.42,249.2,4/1/07
2007-05-01,131.93,249.2,5/1/07
2007-06-01,131.71,248.3,6/1/07
2007-07-01,132.23,248.3,7/1/07
2007-08-01,132.42,248.0,8/1/07
2007-09-01,132.77,248.4,9/1/07
2007-10-01,132.95,253.0,10/1/07
2007-11-01,133.38,255.6,11/1/07
2007-12-01,134.03,255.6,12/1/07
2008-01-01,134.2,255.7,1/1/08
2008-02-01,134.75,255.8,2/1/08
2008-03-01,135.92,255.8,3/1/08
2008-04-01,135.94,255.8,4/1/08
2008-05-01,136.46,254.8,5/1/08
2008-06-01,136.38,254.8,6/1/08
2008-07-01,136.51,254.8,7/1/08
2008-08-01,136.77,263.7,8/1/08
2008-09-01,137.05,275.6,9/1/08
2008-10-01,137.63,277.4,10/1/08
2008-11-01,138.02,277.4,11/1/08
2008-12-01,138.07,276.4,12/1/08
2009-01-01,137.74,276.2,1/1/09
2009-02-01,137.83,273.4,2/1/09
2009-03-01,139.11,270.6,3/1/09
2009-04-01,139.06,268.7,4/1/09
2009-05-01,138.88,266.8,5/1/09
2009-06-01,138.86,266.3,6/1/09
2009-07-01,138.71,258.5,7/1/09
2009-08-01,138.86,259.5,8/1/09
2009-09-01,139.29,257.0,9/1/09
2009-10-01,139.4,257.0,10/1/09
