date,price
Dec-97,100
Jan-98,100.2
Feb-98,100.2
Mar-98,100.5
Apr-98,100.8
May-98,100.9
Jun-98,100.9
Jul-98,101.3
Aug-98,101.6
Sep-98,101.9
Oct-98,102.2
Nov-98,102.3
Dec-98,102.7
Jan-99,103
Feb-99,103.3
Mar-99,103.7
Apr-99,103.9
May-99,104.4
Jun-99,104.3
Jul-99,104.6
Aug-99,104.9
Sep-99,105
Oct-99,105.5
Nov-99,106.1
Dec-99,106.3
Jan-00,106.7
Feb-00,107.2
Mar-00,107.5
Apr-00,107.5
May-00,108.2
Jun-00,108.5
Jul-00,108.7
Aug-00,109.4
Sep-00,109.8
Oct-00,110
Nov-00,110.2
Dec-00,110.6
Jan-01,110.8
Feb-01,111
Mar-01,111.2
Apr-01,111.9
May-01,112.3
Jun-01,112.3
Jul-01,112.8
Aug-01,113
Sep-01,113.2
Oct-01,113.4
Nov-01,114
Dec-01,113.7
Jan-02,113.6
Feb-02,113.7
Mar-02,114.3
Apr-02,114.7
May-02,114.9
Jun-02,114.9
Jul-02,115.1
Aug-02,115.4
Sep-02,115.4
Oct-02,115.5
Nov-02,115.8
Dec-02,115.9
Jan-03,116.3
Feb-03,116.5
Mar-03,117
Apr-03,117.4
May-03,117.8
Jun-03,117.6
Jul-03,117.9
Aug-03,118.3
Sep-03,119.2
Oct-03,119.4
Nov-03,118.5
Dec-03,118.6
Jan-04,118.7
Feb-04,119.1
Mar-04,119.4
Apr-04,119.6
May-04,119.9
Jun-04,120.2
Jul-04,120.5
Aug-04,121.4
Sep-04,121.5
Oct-04,121.6
Nov-04,122.1
Dec-04,122.8
Jan-05,123.2
Feb-05,123.8
Mar-05,124
Apr-05,124.1
May-05,123.8
Jun-05,123.9
Jul-05,124.4
Aug-05,124.5
Sep-05,124.8
Oct-05,124.9
Nov-05,125.2
Dec-05,126
Jan-06,125.9
Feb-06,126.9
Mar-06,127.2
Apr-06,127.2
May-06,127.3
Jun-06,127.6
Jul-06,127.9
Aug-06,128.2
Sep-06,128.5
Oct-06,129.2
Nov-06,129.5
Dec-06,129.6
Jan-07,130.6
Feb-07,130.95
Mar-07,131.24
Apr-07,131.42
May-07,131.93
Jun-07,131.71
Jul-07,132.23
Aug-07,132.42
Sep-07,132.77
Oct-07,132.95
Nov-07,133.38
Dec-07,134.03
Jan-08,134.2
Feb-08,134.75
Mar-08,135.92
Apr-08,135.94
May-08,136.46
Jun-08,136.38
Jul-08,136.51
Aug-08,136.77
Sep-08,137.05
Oct-08,137.63
Nov-08,138.02
Dec-08,138.07
Jan-09,137.74
Feb-09,137.83
Mar-09,139.11
Apr-09,139.06
May-09,138.88
Jun-09,138.86
Jul-09,138.71
Aug-09,138.86
Sep-09,139.29
Oct-09,139.4
Nov-09,139.34
Dec-09,139.33
Jan-10,139.5
Feb-10,139.18
Mar-10,139.38
Apr-10,140.12
May-10,140.35
Jun-10,140.48
Jul-10,140.65
Aug-10,140.55
Sep-10,140.54
Oct-10,139.94
Nov-10,140.11
Dec-10,140.44
Jan-11,140.3
Feb-11,140.45
Mar-11,140.36
Apr-11,140.57
May-11,140.65
Jun-11,140.71
Jul-11,140.62
Aug-11,140.81
Sep-11,140.93
Oct-11,141.09
Nov-11,141.69
Dec-11,141.74
Jan-12,141.58
Feb-12,142.11
Mar-12,142.35
Apr-12,142.62
May-12,142.75
Jun-12,142.77
Jul-12,142.93
Aug-12,143.3
Sep-12,143.34
Oct-12,143.45
Nov-12,143.53
Dec-12,144.28
Jan-13,144.64
Feb-13,144.79
Mar-13,145.05
Apr-13,145.37
May-13,145.38
Jun-13,145.33
Jul-13,145.89
Aug-13,146.28
Sep-13,146.34
Oct-13,145.96
Nov-13,146.51
Dec-13,146.87
Jan-14,146.85
Feb-14,146.87
Mar-14,147.09
Apr-14,147.07
May-14,147.42
Jun-14,147.53
Jul-14,147.67
Aug-14,147.83
Sep-14,147.78
Oct-14,148.33
Nov-14,148.4
Dec-14,149.09
Jan-15,148.97
Feb-15,147.95
Mar-15,148.88
Apr-15,149.02
May-15,149.37
Jun-15,151.72
Jul-15,151.87
Aug-15,151.81
Sep-15,152.22
Oct-15,152.34
Nov-15,152.96
Dec-15,152.67
Jan-16,153.05
Feb-16,153.22
Mar-16,153.53
Apr-16,153.8
May-16,154.2
Jun-16,154.2
Jul-16,154.24
Aug-16,154.62
Sep-16,154.81
Oct-16,154.91
Nov-16,155.51
Dec-16,155.61
Jan-17,155.98
Feb-17,156.07
Mar-17,156.5
Apr-17,156.6
May-17,156.56
Jun-17,156.51
Jul-17,157.14
Aug-17,157.89
Sep-17,157.72
Oct-17,157.87
Nov-17,157.64
Dec-17,157.99
Jan-18,158.74
Feb-18,158.99
Mar-18,159.52
Apr-18,160.21
May-18,160.53
Jun-18,161.78
Jul-18,161.87
Aug-18,161.73
Sep-18,161.87
Oct-18,162.77
Nov-18,162.93
Dec-18,163.66
Jan-19,163.86
Feb-19,164.32
Mar-19,164.54
Apr-19,164.41
May-19,164.4
Jun-19,164.71
Jul-19,165.53
Aug-19,166.2
Sep-19,166.36
Oct-19,166.83
Nov-19,167.6
Dec-19,168.08
Jan-20,169.22
Feb-20,169.76
Mar-20,169.9
Apr-20,169.9
May-20,170.17
Jun-20,172.08
Jul-20,174.74
Aug-20,174.26
Sep-20,174.75
Oct-20,175.46
