date,Superbowl,Cosmetics_index,bodies,unidentified_bodies,underwear,beer_prct_change
1997-12-01,NFC,153.9,,,,0.0
1998-01-01,AFC,155.6,,24.0,,0.8
1998-02-01,AFC,156.1,2.0,24.0,,1.9
1998-03-01,AFC,156.5,,30.0,,-1.8
1998-04-01,AFC,156.8,,21.0,,1.0
1998-05-01,AFC,161.2,4.0,32.0,,-0.1
1998-06-01,AFC,160.7,1.0,22.0,,-0.8
1998-07-01,AFC,161.0,1.0,27.0,,0.9
1998-08-01,AFC,160.3,1.0,32.0,,2.0
1998-09-01,AFC,160.0,,28.0,,-0.1
1998-10-01,AFC,161.4,1.0,42.0,,0.2
1998-11-01,AFC,161.0,1.0,22.0,,0.7
1998-12-01,AFC,160.8,2.0,17.0,,0.8
1999-01-01,AFC,162.1,3.0,24.0,,-1.1
1999-02-01,AFC,162.1,1.0,17.0,,0.6
1999-03-01,AFC,163.6,1.0,16.0,,-0.6
1999-04-01,AFC,163.0,4.0,19.0,,3.4
1999-05-01,AFC,163.5,1.0,23.0,,-0.8
1999-06-01,AFC,165.8,3.0,26.0,,-1.5
1999-07-01,AFC,164.8,2.0,11.0,,1.1
1999-08-01,AFC,165.7,,35.0,,0.1
1999-09-01,AFC,168.0,1.0,28.0,,1.6
1999-10-01,AFC,168.9,2.0,20.0,,0.3
1999-11-01,AFC,168.2,4.0,28.0,,-0.2
1999-12-01,AFC,167.8,1.0,24.0,,1.6
2000-01-01,NFC,166.3,1.0,25.0,,-0.4
2000-02-01,NFC,165.7,2.0,25.0,,1.4
2000-03-01,NFC,166.5,2.0,21.0,,1.6
2000-04-01,NFC,167.0,2.0,30.0,,-1.3
2000-05-01,NFC,166.8,1.0,23.0,,2.5
2000-06-01,NFC,167.5,3.0,23.0,,1.2
2000-07-01,NFC,166.6,,26.0,,0.7
2000-08-01,NFC,167.4,2.0,22.0,,0.7
2000-09-01,NFC,167.8,1.0,21.0,,0.0
2000-10-01,NFC,165.7,3.0,17.0,,1.4
2000-11-01,NFC,166.0,,14.0,,1.0
2000-12-01,NFC,168.1,,23.0,,-5.3
2001-01-01,AFC,168.5,5.0,20.0,,6.5
2001-02-01,AFC,168.4,,24.0,,-1.6
2001-03-01,AFC,168.9,2.0,20.0,,-0.5
2001-04-01,AFC,169.4,1.0,26.0,,0.0
2001-05-01,AFC,164.5,2.0,26.0,,0.5
2001-06-01,AFC,166.8,2.0,21.0,,0.8
2001-07-01,AFC,167.8,3.0,29.0,,-0.6
2001-08-01,AFC,167.4,3.0,25.0,,-0.2
2001-09-01,AFC,168.9,1.0,21.0,,-0.1
2001-10-01,AFC,169.3,5.0,24.0,,0.7
2001-11-01,AFC,169.3,2.0,31.0,,1.8
2001-12-01,AFC,168.3,2.0,23.0,,-0.1
2002-01-01,AFC,167.5,6.0,27.0,,-0.7
2002-02-01,AFC,168.6,4.0,28.0,,1.6
2002-03-01,AFC,167.4,2.0,17.0,,-0.6
2002-04-01,AFC,168.0,5.0,27.0,,-0.6
2002-05-01,AFC,167.6,3.0,22.0,,0.3
2002-06-01,AFC,167.7,1.0,22.0,,0.0
2002-07-01,AFC,166.1,1.0,27.0,,-0.2
2002-08-01,AFC,166.3,1.0,29.0,,-1.0
2002-09-01,AFC,166.7,3.0,26.0,,-0.6
2002-10-01,AFC,167.5,5.0,37.0,,-1.2
2002-11-01,AFC,166.9,7.0,25.0,,0.7
2002-12-01,AFC,165.9,8.0,20.0,,2.9
2003-01-01,NFC,166.7,11.0,26.0,,-2.6
2003-02-01,NFC,166.8,8.0,15.0,,-0.1
2003-03-01,NFC,166.5,7.0,28.0,,1.1
2003-04-01,NFC,167.5,10.0,18.0,,0.8
2003-05-01,NFC,168.2,11.0,27.0,,-1.1
2003-06-01,NFC,169.5,11.0,30.0,,0.6
2003-07-01,NFC,169.7,6.0,28.0,,1.3
2003-08-01,NFC,168.5,7.0,22.0,,2.2
2003-09-01,NFC,168.4,14.0,20.0,,1.0
2003-10-01,NFC,169.0,11.0,32.0,,0.8
2003-11-01,NFC,167.8,10.0,24.0,,-1.3
2003-12-01,NFC,167.3,13.0,32.0,100.0,1.4
2004-01-01,NFC,168.2,8.0,18.0,100.0,-0.1
2004-02-01,AFC,169.5,9.0,19.0,100.0,-0.2
2004-03-01,AFC,168.8,8.0,31.0,100.0,0.3
2004-04-01,AFC,168.7,7.0,25.0,100.2,1.4
2004-05-01,AFC,170.7,4.0,29.0,100.2,0.4
2004-06-01,AFC,170.4,7.0,24.0,100.2,-0.6
2004-07-01,AFC,169.5,6.0,24.0,100.2,0.3
2004-08-01,AFC,169.2,11.0,23.0,100.2,0.1
2004-09-01,AFC,169.1,14.0,21.0,100.2,0.7
2004-10-01,AFC,170.1,12.0,24.0,100.2,1.0
2004-11-01,AFC,170.7,11.0,23.0,99.7,-0.5
2004-12-01,AFC,169.2,8.0,19.0,99.7,-0.7
2005-01-01,AFC,169.6,7.0,27.0,100.2,-1.6
2005-02-01,AFC,170.3,13.0,18.0,100.2,5.2
2005-03-01,AFC,169.7,15.0,18.0,100.2,-2.1
2005-04-01,AFC,170.4,6.0,14.0,100.2,1.2
2005-05-01,AFC,171.1,19.0,24.0,100.2,-1.1
2005-06-01,AFC,171.1,5.0,34.0,103.5,1.8
2005-07-01,AFC,171.0,11.0,41.0,103.5,-0.3
2005-08-01,AFC,171.9,12.0,28.0,103.4,0.8
2005-09-01,AFC,172.0,8.0,27.0,103.4,1.1
2005-10-01,AFC,172.7,12.0,26.0,103.5,1.0
2005-11-01,AFC,172.9,12.0,30.0,103.6,0.7
2005-12-01,AFC,173.1,10.0,22.0,103.6,1.0
2006-01-01,AFC,174.0,19.0,30.0,103.6,1.1
2006-02-01,AFL,173.8,6.0,23.0,103.6,3.3
2006-03-01,AFL,173.5,15.0,31.0,103.8,-2.7
2006-04-01,AFL,172.1,14.0,23.0,104.5,0.6
2006-05-01,AFL,171.3,19.0,31.0,104.5,0.6
2006-06-01,AFL,171.8,10.0,26.0,104.5,0.0
2006-07-01,AFL,171.7,15.0,30.0,104.5,0.1
2006-08-01,AFL,171.7,11.0,28.0,104.5,0.2
2006-09-01,AFL,173.8,15.0,25.0,104.5,0.9
2006-10-01,AFL,173.7,16.0,24.0,104.5,-0.3
2006-11-01,AFL,172.6,10.0,25.0,104.5,1.9
2006-12-01,AFL,177.5,14.0,25.0,104.5,-0.1
2007-01-01,AFL,176.61900000000003,15.0,25.0,104.5,0.3
2007-02-01,AFL,176.007,11.0,14.0,103.5,1.7
2007-03-01,AFL,177.71099999999998,17.0,25.0,103.5,1.3
2007-04-01,AFL,177.988,12.0,31.0,103.5,-2.1
2007-05-01,AFL,177.248,21.0,33.0,103.5,3.6
2007-06-01,AFL,177.745,21.0,28.0,103.5,1.3
2007-07-01,AFL,177.638,24.0,37.0,103.5,-1.0
2007-08-01,AFL,176.908,12.0,26.0,103.5,-1.3
2007-09-01,AFL,175.74599999999998,21.0,23.0,103.7,0.4
2007-10-01,AFL,176.87,18.0,27.0,103.6,-1.3
2007-11-01,AFL,177.109,27.0,29.0,103.6,0.8
2007-12-01,AFL,176.418,18.0,26.0,103.6,1.7
2008-01-01,AFL,176.333,20.0,22.0,103.6,-1.2
2008-02-01,NFC,176.105,20.0,25.0,103.6,0.0
2008-03-01,NFC,176.982,16.0,23.0,103.6,0.7
2008-04-01,NFC,177.018,19.0,30.0,102.7,0.6
2008-05-01,NFC,176.852,22.0,30.0,102.7,0.8
2008-06-01,NFC,178.139,22.0,23.0,102.7,1.6
2008-07-01,NFC,177.521,21.0,21.0,102.7,1.1
2008-08-01,NFC,177.227,21.0,24.0,102.7,-0.4
2008-09-01,NFC,178.753,21.0,22.0,102.7,-0.4
2008-10-01,NFC,179.08599999999998,20.0,20.0,102.7,1.0
2008-11-01,NFC,180.761,21.0,19.0,102.8,-0.3
2008-12-01,NFC,181.66099999999997,17.0,22.0,102.8,-1.2
2009-01-01,NFC,183.583,24.0,16.0,102.8,2.1
2009-02-01,AFL,184.345,25.0,14.0,102.8,-1.9
2009-03-01,AFL,183.515,28.0,29.0,108.7,0.5
2009-04-01,AFL,183.53799999999998,15.0,23.0,110.3,-0.1
2009-05-01,AFL,183.071,18.0,19.0,110.3,1.3
2009-06-01,AFL,182.834,18.0,26.0,110.3,-2.0
2009-07-01,AFL,184.692,18.0,36.0,110.3,1.1
2009-08-01,AFL,183.325,32.0,28.0,110.3,1.6
2009-09-01,AFL,183.08599999999998,11.0,25.0,111.1,-0.6
2009-10-01,AFL,183.583,33.0,21.0,111.1,0.3
2009-11-01,AFL,184.168,25.0,24.0,111.1,-0.4
2009-12-01,AFL,183.917,18.0,19.0,111.1,2.0
2010-01-01,AFL,182.172,20.0,21.0,111.1,-1.1
2010-02-01,NFC,181.725,21.0,23.0,111.3,1.8
