DATE,PCU3152203152201
2003-12-01,100.0
2004-01-01,100.0
2004-02-01,100.0
2004-03-01,100.0
2004-04-01,100.2
2004-05-01,100.2
2004-06-01,100.2
2004-07-01,100.2
2004-08-01,100.2
2004-09-01,100.2
2004-10-01,100.2
2004-11-01,99.7
2004-12-01,99.7
2005-01-01,100.2
2005-02-01,100.2
2005-03-01,100.2
2005-04-01,100.2
2005-05-01,100.2
2005-06-01,103.5
2005-07-01,103.5
2005-08-01,103.4
2005-09-01,103.4
2005-10-01,103.5
2005-11-01,103.6
2005-12-01,103.6
2006-01-01,103.6
2006-02-01,103.6
2006-03-01,103.8
2006-04-01,104.5
2006-05-01,104.5
2006-06-01,104.5
2006-07-01,104.5
2006-08-01,104.5
2006-09-01,104.5
2006-10-01,104.5
2006-11-01,104.5
2006-12-01,104.5
2007-01-01,104.5
2007-02-01,103.5
2007-03-01,103.5
2007-04-01,103.5
2007-05-01,103.5
2007-06-01,103.5
2007-07-01,103.5
2007-08-01,103.5
2007-09-01,103.7
2007-10-01,103.6
2007-11-01,103.6
2007-12-01,103.6
2008-01-01,103.6
2008-02-01,103.6
2008-03-01,103.6
2008-04-01,102.7
2008-05-01,102.7
2008-06-01,102.7
2008-07-01,102.7
2008-08-01,102.7
2008-09-01,102.7
2008-10-01,102.7
2008-11-01,102.8
2008-12-01,102.8
2009-01-01,102.8
2009-02-01,102.8
2009-03-01,108.7
2009-04-01,110.3
2009-05-01,110.3
2009-06-01,110.3
2009-07-01,110.3
2009-08-01,110.3
2009-09-01,111.1
2009-10-01,111.1
2009-11-01,111.1
2009-12-01,111.1
2010-01-01,111.1
2010-02-01,111.3
2010-03-01,111.3
2010-04-01,112.5
2010-05-01,112.5
2010-06-01,112.5
2010-07-01,112.5
2010-08-01,112.5
2010-09-01,112.5
2010-10-01,112.5
2010-11-01,112.5
2010-12-01,112.5
2011-01-01,112.5
2011-02-01,112.5
2011-03-01,112.5
2011-04-01,114.7
2011-05-01,121.6
2011-06-01,118.2
2011-07-01,118.2
2011-08-01,118.2
2011-09-01,121.6
2011-10-01,121.6
2011-11-01,121.7
2011-12-01,121.7
2012-01-01,121.7
2012-02-01,121.8
2012-03-01,121.8
2012-04-01,124.2
2012-05-01,124.2
2012-06-01,124.2
2012-07-01,124.2
2012-08-01,124.2
2012-09-01,124.2
2012-10-01,124.2
2012-11-01,124.2
2012-12-01,124.2
2013-01-01,123.4
2013-02-01,123.4
2013-03-01,123.4
2013-04-01,123.9
2013-05-01,123.9
2013-06-01,123.9
2013-07-01,123.9
2013-08-01,123.9
2013-09-01,123.9
2013-10-01,.
2013-11-01,.
2013-12-01,.
2014-01-01,125.4
2014-02-01,125.4
2014-03-01,125.4
2014-04-01,127.7
2014-05-01,127.5
2014-06-01,127.5
2014-07-01,127.7
2014-08-01,127.7
2014-09-01,128.5
2014-10-01,129.3
2014-11-01,129.3
2014-12-01,129.3
2015-01-01,129.6
2015-02-01,128.7
2015-03-01,128.7
2015-04-01,137.6
2015-05-01,137.6
2015-06-01,137.6
2015-07-01,137.8
2015-08-01,137.2
2015-09-01,137.4
2015-10-01,137.4
2015-11-01,137.4
2015-12-01,137.4
2016-01-01,137.9
2016-02-01,137.9
2016-03-01,137.9
2016-04-01,137.9
2016-05-01,137.9
2016-06-01,137.9
2016-07-01,137.9
2016-08-01,137.9
2016-09-01,137.9
2016-10-01,137.9
2016-11-01,137.9
2016-12-01,137.9
2017-01-01,137.9
2017-02-01,137.9
2017-03-01,137.9
2017-04-01,140.0
2017-05-01,141.6
2017-06-01,141.7
2017-07-01,141.7
2017-08-01,141.7
2017-09-01,145.0
2017-10-01,145.0
2017-11-01,145.0
2017-12-01,145.0
2018-01-01,145.0
2018-02-01,145.0
2018-03-01,145.0
2018-04-01,146.2
2018-05-01,146.2
2018-06-01,146.2
2018-07-01,146.2
2018-08-01,146.2
2018-09-01,146.2
2018-10-01,146.2
2018-11-01,146.2
2018-12-01,146.2
2019-01-01,146.2
2019-02-01,146.2
2019-03-01,146.2
2019-04-01,147.2
2019-05-01,148.3
2019-06-01,148.3
2019-07-01,148.3
2019-08-01,148.3
2019-09-01,148.3
2019-10-01,148.3
2019-11-01,148.3
2019-12-01,148.3
2020-01-01,148.3
2020-02-01,148.6
2020-03-01,148.6
2020-04-01,148.6
2020-05-01,148.6
2020-06-01,148.6
2020-07-01,148.6
2020-08-01,148.6
2020-09-01,150.4
2020-10-01,150.7
